geneID	baseMean	log2FoldChange	lfcSE	pvalue	group1	group2	minusLog10p
YML058W-A	249.37510711111	3.79329730405887	0.206196595088385	8.16477936796738e-77	a_nam	a_no	73.9535664700611
YNL145W	1528.58964243259	-7.77221592943684	0.267629465941938	9.39115325767085e-187	a_nam	a_no	183.174936647096
YNL146C-A	11.2505055546563	-4.28748448875376	0.616868660708323	1.98015358243677e-12	a_nam	a_no	10.7798075484217
YNL318C	33.3446807502705	5.5809283389573	0.381235205871506	1.10826772989547e-48	a_nam	a_no	46.0678464702455
YNR077C	3.75604230336674	8.26911391537989	2.74203048642327	6.28278564896914e-11	a_nam	a_no	9.35094857292707
YOL052C-A	2731.80780839008	-3.55421299100232	0.162393362467847	2.16832451280747e-106	a_nam	a_no	103.319686784056
YOL166C	5.50466261427154	4.69730375182676	0.707762430396182	1.37417057952107e-11	a_nam	a_no	9.98016841524836
YOR214C	100.208288979457	5.57676306387021	0.217006536562601	1.36925429317861e-145	a_nam	a_no	142.287377875755
YOR255W	84.4366611698666	5.40872256349985	0.226266240797067	1.88536505979991e-126	a_nam	a_no	123.33299095931
YPL021W	5.31331832699466	4.32111170777998	0.668686843888081	2.45301832167441e-11	a_nam	a_no	9.7387154251476
YPL033C	106.146408755449	3.95527753052161	0.262670253240771	1.4851463442168e-52	a_nam	a_no	49.8908755348784
YPL130W	31.3798854241003	5.51022530004385	0.389540001574206	2.49065003332904e-45	a_nam	a_no	42.7702282111138
YBL016W	380.147528903241	-4.24824294989896	0.169556072005139	9.57792182135855e-139	a_diploid	a_no	135.253534462986
YBR093C	1315.52059299998	3.63710400589196	0.123080846974074	3.50130874119834e-194	a_diploid	a_no	190.552272644645
YCL054W-A	37.9731936252382	-5.05903085003635	0.434633270575442	4.32265940213644e-31	a_diploid	a_no	28.3135369040854
YCL066W	37.66783421097	4.33382663616684	2.30501604897923	0.000184700097974586	a_diploid	a_no	3.07770237971971
YCR040W	119.00087104561	5.6418327564426	1.2583876317333	1.44363096432335e-08	a_diploid	a_no	6.76312166673051
YDL227C	219.89204190457	-4.1686619655142	0.409991370196895	1.44017238038956e-25	a_diploid	a_no	22.8923310843336
YDR406W-A	1.52723886791469	-3.48370986944972	2.2508357585663	0.00143514369584731	a_diploid	a_no	2.28961326390823
YDR461W	1530.56288702959	-7.89724978196633	0.261599174556249	6.38270273955552e-202	a_diploid	a_no	198.166559697472
YEL021W	85533.6132221699	-16.3164050829498	0.759816312678775	3.59055028088712e-95	a_diploid	a_no	91.8687009742274
YFL026W	1677.67507545129	-6.23833731380279	0.14542177681798	0	a_diploid	a_no	Inf
YGL032C	214.692191792095	-5.87100115442205	0.25664244360954	1.31968644416891e-116	a_diploid	a_no	113.152123556077
YGL182C	3.0805089085823	-3.55671399576532	2.02460612172922	0.000566946824535364	a_diploid	a_no	2.6420865143156
YGL193C	72.3389237977233	-4.42165289057696	0.307340715368151	3.90568356881247e-47	a_diploid	a_no	44.1202299509007
YGR219W	1.40648917153816	-3.74227714144662	2.2202242828072	0.000835674752882156	a_diploid	a_no	2.49513123771939
YHR005C	711.715287364367	-4.08024239585358	0.109022631095983	7.77412112226898e-307	a_diploid	a_no	302.603791758599
YHR136C	179.327634013558	3.5327516329749	0.238024955991236	3.6905694739037e-51	a_diploid	a_no	48.1034409351836
